target,port,status,service,banner
127.0.0.1,20,closed,unknown,
127.0.0.1,21,closed,FTP,
127.0.0.1,22,closed,SSH,
127.0.0.1,23,closed,Telnet,
127.0.0.1,24,closed,unknown,
127.0.0.1,25,closed,SMTP,
127.0.0.1,26,closed,unknown,
127.0.0.1,27,closed,unknown,
127.0.0.1,28,closed,unknown,
127.0.0.1,29,closed,unknown,
127.0.0.1,30,closed,unknown,
127.0.0.1,31,closed,unknown,
127.0.0.1,32,closed,unknown,
127.0.0.1,33,closed,unknown,
127.0.0.1,34,closed,unknown,
127.0.0.1,35,closed,unknown,
127.0.0.1,36,closed,unknown,
127.0.0.1,37,closed,unknown,
127.0.0.1,38,closed,unknown,
127.0.0.1,39,closed,unknown,
127.0.0.1,40,closed,unknown,
127.0.0.1,41,closed,unknown,
127.0.0.1,42,closed,unknown,
127.0.0.1,43,closed,unknown,
127.0.0.1,44,closed,unknown,
127.0.0.1,45,closed,unknown,
127.0.0.1,46,closed,unknown,
127.0.0.1,47,closed,unknown,
127.0.0.1,48,closed,unknown,
127.0.0.1,49,closed,unknown,
127.0.0.1,50,closed,unknown,
127.0.0.1,51,closed,unknown,
127.0.0.1,52,closed,unknown,
127.0.0.1,53,closed,DNS,
127.0.0.1,54,closed,unknown,
127.0.0.1,55,closed,unknown,
127.0.0.1,56,closed,unknown,
127.0.0.1,57,closed,unknown,
127.0.0.1,58,closed,unknown,
127.0.0.1,59,closed,unknown,
127.0.0.1,60,closed,unknown,
127.0.0.1,61,closed,unknown,
127.0.0.1,62,closed,unknown,
127.0.0.1,63,closed,unknown,
127.0.0.1,64,closed,unknown,
127.0.0.1,65,closed,unknown,
127.0.0.1,66,closed,unknown,
127.0.0.1,67,closed,unknown,
127.0.0.1,68,closed,unknown,
127.0.0.1,69,closed,unknown,
127.0.0.1,70,closed,unknown,
127.0.0.1,71,closed,unknown,
127.0.0.1,72,closed,unknown,
127.0.0.1,73,closed,unknown,
127.0.0.1,74,closed,unknown,
127.0.0.1,75,closed,unknown,
127.0.0.1,76,closed,unknown,
127.0.0.1,77,closed,unknown,
127.0.0.1,78,closed,unknown,
127.0.0.1,79,closed,unknown,
127.0.0.1,80,closed,HTTP,
127.0.0.1,81,closed,unknown,
127.0.0.1,82,closed,unknown,
127.0.0.1,83,closed,unknown,
127.0.0.1,84,closed,unknown,
127.0.0.1,85,closed,unknown,
127.0.0.1,86,closed,unknown,
127.0.0.1,87,closed,unknown,
127.0.0.1,88,open,unknown,
127.0.0.1,89,closed,unknown,
127.0.0.1,90,closed,unknown,
127.0.0.1,91,closed,unknown,
127.0.0.1,92,closed,unknown,
127.0.0.1,93,closed,unknown,
127.0.0.1,94,closed,unknown,
127.0.0.1,95,closed,unknown,
127.0.0.1,96,closed,unknown,
127.0.0.1,97,closed,unknown,
127.0.0.1,98,closed,unknown,
127.0.0.1,99,closed,unknown,
127.0.0.1,100,closed,unknown,
