target,port,status,service,banner
scanme.nmap.org,20,closed,unknown,
scanme.nmap.org,21,closed,FTP,
scanme.nmap.org,22,open,SSH,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13
scanme.nmap.org,23,closed,Telnet,
scanme.nmap.org,24,closed,unknown,
scanme.nmap.org,25,closed,SMTP,
scanme.nmap.org,26,closed,unknown,
scanme.nmap.org,27,closed,unknown,
scanme.nmap.org,28,closed,unknown,
scanme.nmap.org,29,closed,unknown,
scanme.nmap.org,30,closed,unknown,
scanme.nmap.org,31,closed,unknown,
scanme.nmap.org,32,closed,unknown,
scanme.nmap.org,33,closed,unknown,
scanme.nmap.org,34,closed,unknown,
scanme.nmap.org,35,closed,unknown,
scanme.nmap.org,36,closed,unknown,
scanme.nmap.org,37,closed,unknown,
scanme.nmap.org,38,closed,unknown,
scanme.nmap.org,39,closed,unknown,
scanme.nmap.org,40,closed,unknown,
scanme.nmap.org,41,closed,unknown,
scanme.nmap.org,42,closed,unknown,
scanme.nmap.org,43,closed,unknown,
scanme.nmap.org,44,closed,unknown,
scanme.nmap.org,45,closed,unknown,
scanme.nmap.org,46,closed,unknown,
scanme.nmap.org,47,closed,unknown,
scanme.nmap.org,48,closed,unknown,
scanme.nmap.org,49,closed,unknown,
scanme.nmap.org,50,closed,unknown,
scanme.nmap.org,51,closed,unknown,
scanme.nmap.org,52,closed,unknown,
scanme.nmap.org,53,closed,DNS,
scanme.nmap.org,54,closed,unknown,
scanme.nmap.org,55,closed,unknown,
scanme.nmap.org,56,closed,unknown,
scanme.nmap.org,57,closed,unknown,
scanme.nmap.org,58,closed,unknown,
scanme.nmap.org,59,closed,unknown,
scanme.nmap.org,60,closed,unknown,
scanme.nmap.org,61,closed,unknown,
scanme.nmap.org,62,closed,unknown,
scanme.nmap.org,63,closed,unknown,
scanme.nmap.org,64,closed,unknown,
scanme.nmap.org,65,closed,unknown,
scanme.nmap.org,66,closed,unknown,
scanme.nmap.org,67,closed,unknown,
scanme.nmap.org,68,closed,unknown,
scanme.nmap.org,69,closed,unknown,
scanme.nmap.org,70,closed,unknown,
scanme.nmap.org,71,closed,unknown,
scanme.nmap.org,72,closed,unknown,
scanme.nmap.org,73,closed,unknown,
scanme.nmap.org,74,closed,unknown,
scanme.nmap.org,75,closed,unknown,
scanme.nmap.org,76,closed,unknown,
scanme.nmap.org,77,closed,unknown,
scanme.nmap.org,78,closed,unknown,
scanme.nmap.org,79,closed,unknown,
scanme.nmap.org,80,open,HTTP,"HTTP/1.1 200 OK
Date: Mon, 23 Mar 2026 09:29:25 GMT
Server: Apache/2.4.7 (Ubuntu)
Accept-Ranges: bytes
Vary: Accept-Encoding
Connection: close
Content-Type: text/html"
scanme.nmap.org,81,closed,unknown,
scanme.nmap.org,82,closed,unknown,
scanme.nmap.org,83,closed,unknown,
scanme.nmap.org,84,closed,unknown,
scanme.nmap.org,85,closed,unknown,
scanme.nmap.org,86,closed,unknown,
scanme.nmap.org,87,closed,unknown,
scanme.nmap.org,88,closed,unknown,
scanme.nmap.org,89,closed,unknown,
scanme.nmap.org,90,closed,unknown,
scanme.nmap.org,91,closed,unknown,
scanme.nmap.org,92,closed,unknown,
scanme.nmap.org,93,closed,unknown,
scanme.nmap.org,94,closed,unknown,
scanme.nmap.org,95,closed,unknown,
scanme.nmap.org,96,closed,unknown,
scanme.nmap.org,97,closed,unknown,
scanme.nmap.org,98,closed,unknown,
scanme.nmap.org,99,closed,unknown,
scanme.nmap.org,100,closed,unknown,
